ifcguid,d_dr_ew,d_dr_sn,exit,height,id,rough_height,storey_exit,type_ifcguid,classification
2_414Bjl90PPXdZA2Pm_XO,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2_414Bjl90PPXdZA2Pm_XP,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2_414Bjl90PPXdZA2Pm_XY,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2_414Bjl90PPXdZA2Pm_XZ,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2_414Bjl90PPXdZA2Pm_X_,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2_414Bjl90PPXdZA2Pm_YF,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2_414Bjl90PPXdZA2Pm_Y7,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2_414Bjl90PPXdZA2Pm_Y4,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2_414Bjl90PPXdZA2Pm_Y3,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2_414Bjl90PPXdZA2Pm_ZQ,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2_414Bjl90PPXdZA2Pm_ZL,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2Bq14yaGX6nfJvHeT6kGT2,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2Bq14yaGX6nfJvHeT6kGT1,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2$gFCyRLn3YxmJ7kU3eXta,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
