,U1_OK_d_wl_ew6,U1_OK_d_wl_sn21,U1_OK_d_wl_sn26,U1_OK_d_wl_sn10,U1_OK_d_wl_ew35,compliance-IBC1020_2,compliance-IBC1207_1,compliance-IBC1207_3,compliance
277,2.7344,2.5613,7.6703,5.472499999999999,9.8987,True,False,False,False
278,3.2648,2.1815,7.9277,5.2733,9.7391,False,False,False,False
279,2.654,2.5889,8.0189,5.350099999999999,9.7241,True,True,False,False
280,2.5568,2.2487,7.7645,5.0393,9.6413,True,False,False,False
281,2.9756,2.5253,8.0129,5.0165,9.8573,False,True,True,False
282,2.9504,2.2127,7.9337,5.517499999999999,10.0547,True,False,False,False
283,3.1544,2.4671,7.6991,5.2673,9.7385,False,True,True,False
284,2.42,2.7461,7.9415,5.3663,9.6317,True,True,False,False
285,2.9996,2.2685,8.1641,5.0369,10.1129,True,False,False,False
286,2.324,2.4347,8.0123,4.9325,9.9479,True,True,False,False
287,2.1992,2.3021,8.1149,4.951099999999999,10.0409,True,False,False,False
288,3.3128,2.1911,7.7351,5.3267,10.1123,False,False,False,False
289,2.714,2.5931,7.7267,5.3279,9.5843,False,True,False,False
290,2.24,2.5271,7.9451,5.492299999999999,9.5711,True,False,False,False
291,2.9564,2.3363,8.0993,5.1389,9.9413,True,True,False,False
292,2.5232,2.3741,7.683499999999999,5.3915,9.8081,True,True,False,False
293,2.8868,2.2505,7.9823,5.375299999999999,9.8273,False,False,False,False
294,2.2424,2.1791,8.0249,5.1617,9.6143,True,False,False,False
295,2.7776,2.3129,7.6817,5.0951,10.0505,True,True,False,False
296,3.116,2.3861,7.8707,5.249899999999999,9.8003,False,True,True,False
297,2.498,2.3477,7.7381,5.5097,9.6761,True,False,False,False
298,3.1388,2.2883,7.6589,5.4869,9.8921,False,False,False,False
299,2.6636,2.3885,7.9937,5.3249,9.6857,True,True,False,False
300,2.6288,2.5487,8.0681,5.5085,9.5621,False,True,False,False
301,2.204,2.5181,7.6925,5.5139,10.0325,True,False,False,False
302,3.0896,2.6321,7.9139,5.3759,9.9143,False,True,True,False
303,2.8328,2.3729,7.7309,5.307499999999999,9.9221,True,True,False,False
304,2.978,2.4473,8.1569,5.4917,9.5543,False,True,False,False
305,2.8232,2.3897,7.8455,5.4929,10.0115,True,True,False,False
306,2.9576,2.6165,7.6583,5.0363,9.6149,False,True,False,False
307,3.284,2.4305,8.0777,5.2379,10.0481,False,True,True,False
308,2.672,2.3465,8.1905,5.327299999999999,10.0343,True,True,False,False
309,2.984,2.3441,8.1281,5.2163,9.6749,False,True,False,False
310,2.7608,2.4839,7.7639,5.3873,9.6461,False,True,False,False
311,2.3084,2.6303,8.1251,5.4857,9.9179,True,False,False,False
312,2.2736,2.4509,7.8743,5.0387,9.6653,True,False,False,False
313,3.0848,2.4893,7.7387,5.2013,10.0397,False,True,True,False
314,2.7668,2.2259,7.7051,5.348299999999999,10.1147,True,False,False,False
315,2.1908,2.6735,7.8779,5.3531,9.8339,True,False,False,False
