,U1_OK_d_wl_ew6,U1_OK_d_wl_sn21,U1_OK_d_wl_sn26,U1_OK_d_wl_sn10,U1_OK_d_wl_ew35,compliance-IBC1020_2,compliance-IBC1207_1,compliance-IBC1207_3,compliance
228,2.6354,2.4842,7.8896,5.174,9.6002,FALSE,TRUE,FALSE,FALSE
229,3.0434,2.6198,7.7084,4.9844,9.7574,FALSE,TRUE,FALSE,FALSE
230,2.5418,2.4686,7.7888,5.1056,9.6374,TRUE,TRUE,FALSE,FALSE
231,2.957,2.6174,7.8044,5.0732,9.6602,FALSE,TRUE,TRUE,FALSE
232,3.0362,2.5082,7.8692,4.934,9.5426,FALSE,TRUE,TRUE,FALSE
233,2.5898,2.5094,7.7684,4.946,9.8234,TRUE,TRUE,FALSE,FALSE
234,2.4938,2.6258,7.7588,5.1296,9.5594,TRUE,TRUE,FALSE,FALSE
235,2.4674,2.7038,7.6016,4.94,9.7286,TRUE,TRUE,FALSE,FALSE
236,2.6066,2.7458,7.8284,5.0432,9.6194,TRUE,TRUE,FALSE,FALSE
237,2.609,2.6906,7.6952,5.1728,9.827,TRUE,TRUE,FALSE,FALSE
238,2.8898,2.7122,7.7852,5.2124,9.7514,FALSE,TRUE,TRUE,FALSE
239,2.6018,2.5694,7.6628,4.9748,9.755,TRUE,TRUE,FALSE,FALSE
240,2.753,2.6966,7.8716,5.1152,9.5954,FALSE,TRUE,FALSE,FALSE
241,2.657,2.7074,7.6976,4.9556,9.557,FALSE,TRUE,FALSE,FALSE
242,2.9378,2.6354,7.7108,5.0312,9.701,FALSE,TRUE,FALSE,FALSE
243,2.4722,2.5994,7.6304,5.0252,9.7886,TRUE,TRUE,FALSE,FALSE
244,2.8778,2.477,7.832,4.9832,9.815,FALSE,TRUE,FALSE,FALSE
245,2.5946,2.507,7.8884,5.042,9.7238,TRUE,TRUE,FALSE,FALSE
246,2.9546,2.5574,7.6652,5.0528,9.725,FALSE,TRUE,TRUE,FALSE
247,2.6306,2.6006,7.7036,5.1332,9.6434,TRUE,TRUE,FALSE,FALSE
248,2.549,2.7494,7.7432,5.1044,9.7214,TRUE,TRUE,FALSE,FALSE
249,2.933,2.5442,7.7672,5.1344,9.6554,FALSE,TRUE,TRUE,FALSE
250,2.645,2.6714,7.8416,5.0636,9.7298,TRUE,TRUE,FALSE,FALSE
251,3.2456,2.6081,7.6781,5.3357,9.6551,FALSE,TRUE,TRUE,FALSE
252,2.5172,2.6579,8.0243,5.4581,9.8861,TRUE,TRUE,FALSE,FALSE
253,2.3012,2.6453,7.7741,5.1725,9.6767,TRUE,FALSE,FALSE,FALSE
254,2.678,2.2463,8.1359,5.0315,9.5951,FALSE,FALSE,FALSE,FALSE
255,2.9072,2.1701,8.1881,5.3435,9.8153,FALSE,FALSE,FALSE,FALSE
256,2.4464,2.4647,7.8731,5.3405,9.8411,TRUE,TRUE,FALSE,FALSE
257,2.9276,2.2115,7.6973,5.3849,10.0235,TRUE,FALSE,FALSE,FALSE
258,3.3524,2.4185,7.9463,5.4629,10.0373,FALSE,TRUE,TRUE,FALSE
259,2.3792,2.5913,7.7285,5.2145,9.8615,TRUE,TRUE,FALSE,FALSE
260,3.014,2.5535,7.9817,4.9313,9.9917,FALSE,TRUE,FALSE,FALSE
261,2.2712,2.6909,8.0057,5.2067,9.8639,TRUE,FALSE,FALSE,FALSE
262,2.414,2.3909,7.8923,5.2061,9.5783,TRUE,TRUE,FALSE,FALSE
263,2.2556,2.2571,7.7345,5.1173,9.9101,TRUE,FALSE,FALSE,FALSE
264,2.4152,2.6471,7.9487,4.9847,10.0067,TRUE,TRUE,FALSE,FALSE
265,2.5436,2.5715,7.8725,5.2199,9.8891,TRUE,TRUE,FALSE,FALSE
266,3.0452,2.5463,8.1923,5.4023,9.8399,FALSE,TRUE,TRUE,FALSE
267,2.7332,2.6207,7.6535,5.1053,9.8075,TRUE,TRUE,FALSE,FALSE
268,2.3108,2.5589,7.6295,5.5217,9.8129,TRUE,FALSE,FALSE,FALSE
269,2.7308,2.5361,7.8311,5.0531,9.8027,TRUE,TRUE,FALSE,FALSE
270,2.6744,2.1851,7.7933,5.1227,9.9095,TRUE,FALSE,FALSE,FALSE
271,2.9708,2.5451,7.6055,5.0357,9.5993,FALSE,TRUE,TRUE,FALSE
